W,L,run_id,goodput_mbps,retransmissions,avg_rtt,utilization,buffer_events,duration
2,128,0,0.01914526085505954,5763,0.08331614974675584,0.1914526085505954,0,1000.000999983265
2,128,1,0.019341100659223013,5683,0.08260843946791585,0.19341100659223012,0,1000.000999983265
2,128,2,0.018961901038416287,5776,0.08366398752528834,0.18961901038416287,0,1000.000999983265
2,128,3,0.019339180661142978,5713,0.0827728178704178,0.1933918066114298,0,1000.000999983265
2,128,4,0.019121260879059115,5822,0.08364185432269987,0.19121260879059113,0,1000.000999983265
2,128,5,0.01925470074562148,5755,0.08311382418347213,0.1925470074562148,0,1000.000999983265
2,128,6,0.019405420594904153,5704,0.08260762827880856,0.19405420594904155,0,1000.000999983265
2,128,7,0.01950046049986584,5694,0.08244415253283788,0.1950046049986584,0,1000.000999983265
2,128,8,0.01924606075426133,5701,0.08285199313644608,0.1924606075426133,0,1000.000999983265
2,128,9,0.019285420714902028,5727,0.08291605013687255,0.19285420714902027,0,1000.000999983265
2,256,0,0.02871043529004518,8018,0.11000740179676466,0.2871043529004518,0,1000.000999983265
2,256,1,0.028877091123392134,8016,0.109672536997542,0.28877091123392135,0,1000.000999983265
2,256,2,0.02909731490317204,7957,0.10885440960038385,0.2909731490317204,0,1000.000999983265
2,256,3,0.02909731490317204,7920,0.10860340185482657,0.2909731490317204,0,1000.000999983265
2,256,4,0.02894057905990526,7956,0.10912809751143294,0.2894057905990526,0,1000.000999983265
2,256,5,0.029422690577801808,7896,0.10781747010985354,0.2942269057780181,0,1000.000999983265
2,256,6,0.029295714704775558,7925,0.10826730944055205,0.2929571470477556,0,1000.000999983265
2,256,7,0.028591395409083068,7983,0.10998827354976629,0.2859139540908307,0,1000.000999983265
2,256,8,0.02892669107379301,7994,0.1094216636487821,0.28926691073793015,0,1000.000999983265
2,256,9,0.029400866599625423,7866,0.1076637695774881,0.29400866599625425,0,1000.000999983265
2,512,0,0.035380764619827476,10701,0.17680807292608336,0.35380764619827476,0,1000.000999983265
2,512,1,0.035650908349688266,10538,0.17404786428403798,0.35650908349688265,0,1000.000999983265
2,512,2,0.0361266838739207,10499,0.17197394576491512,0.361266838739207,0,1000.000999983265
2,512,3,0.03542108457950819,10625,0.17578239562935863,0.35421084579508194,0,1000.000999983265
2,512,4,0.03474774125284025,10690,0.17888169300375734,0.3474774125284025,0,1000.000999983265
2,512,5,0.035296092704497975,10540,0.17523703483717182,0.3529609270449797,0,1000.000999983265
2,512,6,0.03507030093028597,10649,0.17724395355781075,0.35070300930285975,0,1000.000999983265
2,512,7,0.035042076958509465,10643,0.1773007381499544,0.35042076958509466,0,1000.000999983265
2,512,8,0.035146908853679326,10727,0.17780932140392813,0.35146908853679326,0,1000.000999983265
2,512,9,0.0351227168778709,10628,0.17687343909993467,0.35122716877870896,0,1000.000999983265
2,1024,0,0.02897629102419389,12969,0.41899340246907835,0.2897629102419389,0,1000.000999983265
2,1024,1,0.030236129764376236,13077,0.4067365997310471,0.30236129764376235,0,1000.000999983265
2,1024,2,0.029130722869764633,12881,0.4144470002788933,0.29130722869764636,0,1000.000999983265
2,1024,3,0.029228258772230363,13155,0.4210489236929255,0.29228258772230364,0,1000.000999983265
2,1024,4,0.029423330577161823,13077,0.41644710276237706,0.2942333057716182,0,1000.000999983265
2,1024,5,0.029138850861636777,13072,0.4198974884239232,0.2913885086163677,0,1000.000999983265
2,1024,6,0.030471841528668418,13233,0.4081870211789228,0.30471841528668414,0,1000.000999983265
2,1024,7,0.029610274390221136,13015,0.4124722033488185,0.29610274390221136,0,1000.000999983265
2,1024,8,0.029626530373965426,13141,0.4157953229080281,0.29626530373965426,0,1000.000999983265
2,1024,9,0.029350178650312524,13150,0.41943029454437836,0.2935017865031252,0,1000.000999983265
2,2048,0,0.013496626503599361,14632,1.8222806647350223,0.13496626503599363,0,1000.000999983265
2,2048,1,0.01241950758070026,14590,1.9702523584762779,0.12419507580700259,0,1000.000999983265
2,2048,2,0.013708786291443124,14541,1.780337917717797,0.13708786291443126,0,1000.000999983265
2,2048,3,0.0123542276459791,14750,1.9985290427454787,0.123542276459791,0,1000.000999983265
2,2048,4,0.013104946895272414,14285,1.8265076457718166,0.13104946895272415,0,1000.000999983265
2,2048,5,0.012272627727577654,14966,2.0397511691907093,0.12272627727577654,0,1000.000999983265
2,2048,6,0.01238686761333968,14164,1.9177637565228292,0.1238686761333968,0,1000.000999983265
2,2048,7,0.01238686761333968,14318,1.9403961675897432,0.1238686761333968,0,1000.000999983265
2,2048,8,0.012778547221666627,14671,1.9279782048541103,0.12778547221666628,0,1000.000999983265
2,2048,9,0.012452147548060838,14863,2.002958582438793,0.12452147548060839,0,1000.000999983265
2,4096,0,0.0010792309207871401,14812,39.396229082437344,0.0107923092078714,0,1000.000999983265
2,4096,1,0.0016679023321255803,14848,27.630899199989553,0.016679023321255804,0,1000.000999983265
2,4096,2,0.00134086265915978,13985,32.59210466342716,0.013408626591597802,0,1000.000999983265
2,4096,3,0.0017987182013119002,15183,27.430467345466973,0.017987182013119003,0,1000.000999983265
2,4096,4,0.0012427507572700402,14057,34.499354994893416,0.012427507572700402,0,1000.000999983265
2,4096,5,0.00134086265915978,14965,36.42885080978659,0.013408626591597802,0,1000.000999983265
2,4096,6,0.00104652695349056,14317,41.47316586672933,0.0104652695349056,0,1000.000999983265
2,4096,7,0.0018314221686084801,15570,26.57200712980969,0.018314221686084802,0,1000.000999983265
2,4096,8,0.0016024943975324203,15183,29.964046239975286,0.016024943975324203,0,1000.000999983265
